年月,プロジェクトコード,プロジェクト名,部門,売上高,売上原価,販管費,営業利益,販管費計
202501,Z999,販売費および一般管理費,本社,0,0,7911000,-7911000,7911000
202501,Z999,販売費および一般管理費,共通,0,0,5275000,-5275000,5275000
202502,Z999,販売費および一般管理費,本社,0,0,6447000,-6447000,6447000
202502,Z999,販売費および一般管理費,共通,0,0,4299000,-4299000,4299000
202503,Z999,販売費および一般管理費,本社,0,0,7926000,-7926000,7926000
202503,Z999,販売費および一般管理費,共通,0,0,5285000,-5285000,5285000
202504,Z999,販売費および一般管理費,本社,0,0,8305000,-8305000,8305000
202504,Z999,販売費および一般管理費,共通,0,0,5538000,-5538000,5538000
202505,Z999,販売費および一般管理費,本社,0,0,7336000,-7336000,7336000
202505,Z999,販売費および一般管理費,共通,0,0,4891000,-4891000,4891000
202506,Z999,販売費および一般管理費,本社,0,0,8097000,-8097000,8097000
202506,Z999,販売費および一般管理費,共通,0,0,5398000,-5398000,5398000
202507,Z999,販売費および一般管理費,本社,0,0,5511000,-5511000,5511000
202507,Z999,販売費および一般管理費,共通,0,0,3674000,-3674000,3674000
